cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,location,unit,categories,type,uncertainty type,loc,allocation,comment,reference product,,,,,,,,
"diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, energy allocation, at fuelling station, EP2050",1,CH,kilogram,,production,,,100,,"diesel, synthetic, vehicle grade",,,,,,,,
"Diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",1.00057,CH,kilogram,,technosphere,,,,,"Diesel, synthetic",,,,,,,,
"market group for electricity, low voltage",0.0067,RER,kilowatt hour,,technosphere,,,,,"electricity, low voltage",,,,,,,,
market for fly ash and scrubber sludge,-0.000168,Europe without Switzerland,kilogram,,technosphere,,,,,fly ash and scrubber sludge,,,,,,,,
"market for heat, central or small-scale, other than natural gas",0.000584,CH,megajoule,,technosphere,,,,,"heat, central or small-scale, other than natural gas",,,,,,,,
"infrastructure construction, for regional distribution of oil product",2.60E-10,RER,unit,,technosphere,,,,,"infrastructure, for regional distribution of oil product",,,,,,,,
market for municipal solid waste,-0.00000627,CH,kilogram,,technosphere,,,,,municipal solid waste,,,,,,,,
market for rainwater mineral oil storage,-0.000075,Europe without Switzerland,cubic meter,,technosphere,,,,,rainwater mineral oil storage,,,,,,,,
market for tap water,0.000689,Europe without Switzerland,kilogram,,technosphere,,,,,tap water,,,,,,,,
"market for transport, freight train",0.0336,Europe without Switzerland,ton kilometer,,technosphere,,,,,"transport, freight train",,,,,,,,
"market for transport, freight, lorry, unspecified",0.0326,RER,ton kilometer,,technosphere,,,,,"transport, freight, lorry, unspecified",,,,,,,,
